Race,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
NH Black,531,0.06660753544833958,0.11244300534803386,0.08753749264830579,cvd,0.01067364280634631,0.08753749264830775,0.11084191138914386,0.06875393756659642,0.13362986621605497
Hispanic,343,0.03990060322503247,0.1186027963802121,0.07225877611858707,cvd,0.017749229763775895,0.07225877611858862,0.11572336223432246,0.044301214809421355,0.26476590299456226
NH White,370,0.07944119304210574,0.14003025041389972,0.10697475490822056,cvd,0.014111315764579996,0.10697475490822057,0.1379398513406209,0.08229718966220419,0.14771427719502273
Other,229,0.03066701355640729,0.12702406971650437,0.06787409088940101,cvd,0.02143157500468057,0.0678740908895212,0.12391344904939515,0.036133044141460256,0.33874701983618283
NH Black,531,0.050175622210490364,0.09778821590065623,0.07131636532852371,str,0.010986564047737275,0.0713163653285237,0.09608385090434651,0.052561940325458405,0.1658841525097096
Hispanic,343,0.01225009222447318,0.058487401149745155,0.029363916332683374,str,0.010089018063528622,0.029363916332692138,0.057087013271176545,0.014891331358823852,0.3539798079922763
NH White,370,0.03904665499605472,0.12121652727828902,0.0725650462795016,str,0.018487141104770576,0.07256504627950164,0.11820522837607435,0.04367417888651815,0.2747001013372814
Other,229,0.040937796164664475,0.12763912945736489,0.07631594457844576,str,0.019610313214031783,0.07631594457844576,0.12474534786393839,0.04570627331413074,0.27819274470902344
NH Black,641,0.33585789768297514,0.41972752489041154,0.37710906771851493,htn,0.019830663545169516,0.3771090677185149,0.4166910529939594,0.3391012165895651,0.08442251039026766
Hispanic,416,0.22463277789682407,0.33652931945330533,0.27802860026988174,htn,0.026266787371093454,0.27802860027346155,0.33230323460220607,0.22957069807767508,0.13085716029538857
NH White,435,0.2791150046637455,0.40647576535664987,0.34067267329009737,htn,0.029913977427127893,0.3406726732913993,0.4014872782793662,0.28468818367101095,0.13317901150033531
Other,268,0.23766070214314888,0.4916063186141195,0.35732478189532,htn,0.05903539431309542,0.3573247819103642,0.47922720694307325,0.2514583054183505,0.2570737764471935
NH Black,1450,0.05752080785188875,0.09424514260909378,0.07435216980636582,dm,0.008569212596774532,0.07435216980831957,0.09299118858468107,0.059205261851398974,0.12450921158585233
Hispanic,986,0.05161914860913079,0.08819859834615873,0.06824557901109553,dm,0.00853665752362542,0.06824557901114292,0.08699958955719846,0.05329826403178579,0.13424925173849403
NH White,895,0.050833440967475337,0.11471120199378171,0.07848996052460672,dm,0.014650313444430603,0.0784899605246067,0.11244045733552643,0.0541649536226842,0.2025502272835278
Other,546,0.046628831190806304,0.1361308383865214,0.08366697742632682,dm,0.020329045918184064,0.08366697742633127,0.13309923111464975,0.05150286053030854,0.26516095783953153
NH Black,1450,0.1333307424457549,0.19226365718128724,0.16118889908453352,ast,0.013853054160989533,0.1611888990846371,0.1902179814006457,0.13584674854791604,0.10245808484908493
Hispanic,986,0.08526206447503329,0.12953391083907884,0.10589430103405746,ast,0.010407926536740997,0.10589430104095753,0.12809253136380938,0.08715843921511024,0.10992659276323209
NH White,895,0.10838050676868678,0.178436609113224,0.14073258516299483,ast,0.01638216824649532,0.1407325852630252,0.17599817405890705,0.1115764912373849,0.1354716353139163
Other,546,0.06515565934144982,0.12223714440357503,0.09075326018208318,ast,0.01331343411219679,0.09075327478834867,0.1204422950032212,0.0678183157726974,0.16134148985783828
NH Black,531,0.03952385342989911,0.08230960795875264,0.05825040304639542,ckd,0.009830190137954062,0.058250403046395435,0.08078183783520133,0.04171815662183689,0.17919568200331448
Hispanic,343,0.024950311966058784,0.049346168765401766,0.03569203566646412,ckd,0.005638961080831436,0.03569203566646424,0.048551129623276644,0.026145169863749887,0.16383701439351808
NH White,370,0.02651837850040458,0.09915579266095864,0.05497728119268897,ckd,0.016141832889081758,0.05497728119268895,0.0966208630232736,0.030672672653629482,0.3106900456165784
Other,229,0.007969934103341977,0.08489025569828224,0.03231955019504159,ckd,0.016091847294235472,0.03231955019504563,0.08387892457040837,0.012036702135744027,0.5145275429124025
NH Black,1142,0.0016724453197288697,0.017563503277361336,0.0066321115254254215,hbv,0.003267860426377926,0.006632111525425482,0.017344362851609486,0.0025190166125441163,0.4960227108258787
Hispanic,761,1.4649355796725493e-4,0.00738119995537323,0.0017969502969214896,hbv,0.001347986801630373,0.0017969511972553412,0.007791133253822707,4.1253239184587754e-4,0.7515025591792567
NH White,695,0.0011168583929365068,0.017186094389007534,0.005755545380241676,hbv,0.0032318584603813205,0.005755545380241683,0.017210289175176696,0.0019099797238793584,0.5647713696856326
Other,441,0.0060032016330017965,0.029130123625191295,0.01448495379132134,hbv,0.005057056807302931,0.014484953791321345,0.028589085099128154,0.007286756333935483,0.3542561993061163
NH Black,1142,0.009750141280009209,0.03718183427971622,0.02033319297471141,hcv,0.006049471916540638,0.020333192974711384,0.03627307406620746,0.011315705687781258,0.30369209600740815
Hispanic,761,0.0027514656860661295,0.02209928756896351,0.009139151313826348,hcv,0.004064557292314692,0.009139151314550774,0.021747054521447408,0.0038122232691257213,0.448843265081723
NH White,695,0.015282133403210869,0.10233991720512925,0.04567235473120681,hcv,0.018676550539425543,0.045672354731206816,0.09977930962401725,0.020245913449965288,0.42849500085703757
Other,441,0.002727184517883522,0.018845973997641763,0.008212278849755521,hcv,0.0034380533374770046,0.008212278869272324,0.018586660594240204,0.003607207193477098,0.42211442560907064
NH Black,1538,0.11692511179530027,0.17410514938926458,0.1437694952305724,dep,0.013416068259554336,0.14376949523057245,0.17211361432435462,0.11941984743987721,0.10898527264497233
Hispanic,1089,0.10175207658862657,0.1681442526729059,0.13235899758629646,dep,0.015520916084357192,0.13235899758629646,0.16584491138685128,0.10478493294739051,0.135152416132503
NH White,979,0.17919387111486415,0.31762828681807476,0.24352902496389214,dep,0.032210857090081924,0.24352902496389595,0.3120112282619598,0.18601377415168882,0.17484744150457704
Other,573,0.13750183140416772,0.26945688997501116,0.19742584729160453,dep,0.03070873198532956,0.19742584729160453,0.2645205578452214,0.14401704851201536,0.19380844835161812
