Gender,Age.Group,Race,counts,cvdFALSE,cvdTRUE,se.cvdFALSE,se.cvdTRUE
Men,18-24,NH Black,18,0.9172107420318736,0.0827892579681264,0.07906043253045558,0.07906043253045558
Women,18-24,NH Black,35,1,0,0,0
Men,25-34,NH Black,24,0.8707874751532004,0.1292125248467995,0.11398784599678984,0.11398784599678984
Women,25-34,NH Black,90,0.9976733695372925,0.002326630462707554,0.002355347403286302,0.002355347403286303
Men,35-44,NH Black,26,1,0,0,0
Women,35-44,NH Black,52,0.9335427872446065,0.06645721275539344,0.03062433853420992,0.030624338534209924
Men,45-54,NH Black,31,0.9636425884231298,0.036357411576870224,0.02617764912047088,0.02617764912047088
Women,45-54,NH Black,45,0.7881167682145208,0.21188323178547927,0.06654597267482028,0.06654597267482028
Men,55-64,NH Black,54,0.8429675701874251,0.15703242981257493,0.05783719918413055,0.05783719918413055
Women,55-64,NH Black,57,0.8656718560747803,0.1343281439252197,0.037865436093584455,0.037865436093584455
Men,65 and over,NH Black,42,0.8171960553861576,0.18280394461384242,0.03766816115477503,0.03766816115477503
Women,65 and over,NH Black,57,0.8211613495211606,0.1788386504788394,0.0529636493576354,0.0529636493576354
Men,18-24,Hispanic,12,1,0,0,0
Women,18-24,Hispanic,26,1,0,0,0
Men,25-34,Hispanic,17,0.9999999999999999,0,3.7048688402439097e-17,0
Women,25-34,Hispanic,34,1,0,0,0
Men,35-44,Hispanic,16,0.8364858820158165,0.1635141179841836,0.10599782449167647,0.10599782449167647
Women,35-44,Hispanic,37,0.9824508605714912,0.017549139428508748,0.017533852698390515,0.01753385269839051
Men,45-54,Hispanic,14,0.9664794539254108,0.033520546074589194,0.03349076623830261,0.03349076623830261
Women,45-54,Hispanic,30,0.877782277916083,0.122217722083917,0.07235353594958324,0.07235353594958324
Men,55-64,Hispanic,32,0.7949582974548699,0.20504170254513004,0.07605761214810434,0.07605761214810433
Women,55-64,Hispanic,44,0.9524142343973946,0.047585765602605384,0.028829203912624893,0.02882920391262489
Men,65 and over,Hispanic,31,0.7196930629180606,0.2803069370819393,0.08600521337862417,0.08600521337862417
Women,65 and over,Hispanic,50,0.8142067233689674,0.1857932766310326,0.062001618381660684,0.062001618381660684
Men,18-24,NH White,14,1,0,0,0
Women,18-24,NH White,19,1,0,0,0
Men,25-34,NH White,24,1,0,0,0
Women,25-34,NH White,50,0.9566446995774663,0.04335530042253375,0.02965171220080899,0.029651712200808988
Men,35-44,NH White,30,0.8293500097895491,0.17064999021045088,0.13098320038691957,0.13098320038691957
Women,35-44,NH White,46,0.9684864348666575,0.031513565133342455,0.022669383087257942,0.022669383087257942
Men,45-54,NH White,23,0.7766919089912775,0.2233080910087224,0.07868100958050026,0.07868100958050026
Women,45-54,NH White,35,0.9000744078577186,0.09992559214228144,0.05670189247770162,0.056701892477701625
Men,55-64,NH White,33,0.8384863398886347,0.1615136601113652,0.0568161178206455,0.05681611782064551
Women,55-64,NH White,31,0.8202665935462768,0.1797334064537231,0.07616094451015794,0.07616094451015794
Men,65 and over,NH White,35,0.6950106650205475,0.30498933497945246,0.09412067465760238,0.09412067465760238
Women,65 and over,NH White,30,0.6844344359895024,0.3155655640104976,0.07677795257250294,0.07677795257250294
Men,18-24,Other,13,1,0,0,0
Women,18-24,Other,9,1,0,0,0
Men,25-34,Other,19,1,0,0,0
Women,25-34,Other,27,1,0,0,0
Men,35-44,Other,22,1,0,0,0
Women,35-44,Other,18,0.8549960548651512,0.14500394513484885,0.1074074363952728,0.1074074363952728
Men,45-54,Other,19,0.9847101596279728,0.015289840372027198,0.015950498934276133,0.015950498934276133
Women,45-54,Other,18,0.9622595215002756,0.03774047849972447,0.04091586903494994,0.04091586903494995
Men,55-64,Other,16,0.7757422153266604,0.22425778467333943,0.12833412672108435,0.12833412672108432
Women,55-64,Other,26,0.8987124205568556,0.10128757944314444,0.06773602290555003,0.06773602290555004
Men,65 and over,Other,20,0.8239746910373208,0.17602530896267918,0.06874773622917899,0.06874773622917899
Women,65 and over,Other,22,0.7565220177851489,0.2434779822148511,0.09306555297745965,0.09306555297745965
