Gender,Age.Group,Race,counts,dmFALSE,dmTRUE,se.dmFALSE,se.dmTRUE
Men,Under 18,NH Black,462,0.9985729535667258,0.0014270464332742895,0.0014519543550300038,0.0014519543550300068
Women,Under 18,NH Black,417,0.9907353068804996,0.009264693119500404,0.005198566250803133,0.0051985662508031326
Men,18-24,NH Black,35,1,0,0,0
Women,18-24,NH Black,58,0.9866489051607484,0.013351094839251522,0.01375371914381374,0.013753719143813738
Men,25-34,NH Black,24,0.9999999999999999,0,2.125573239992577e-17,0
Women,25-34,NH Black,90,0.9715603564443549,0.028439643555645062,0.023003528186431248,0.023003528186431244
Men,35-44,NH Black,26,0.8954454079662585,0.10455459203374143,0.06540089378085943,0.06540089378085945
Women,35-44,NH Black,52,0.8494527178130394,0.15054728218696045,0.053701460794914654,0.053701460794914654
Men,45-54,NH Black,31,0.83933208290367,0.16066791709633,0.053383142626757155,0.053383142626757155
Women,45-54,NH Black,45,0.8204233716769769,0.17957662832302324,0.07372394529388292,0.07372394529388292
Men,55-64,NH Black,54,0.8587133873850369,0.14128661261496311,0.05654078429365286,0.05654078429365286
Women,55-64,NH Black,57,0.7432438236923471,0.25675617630765285,0.052790207274007,0.052790207274006996
Men,65 and over,NH Black,42,0.65128258560414,0.34871741439586007,0.08839838934554187,0.08839838934554187
Women,65 and over,NH Black,57,0.5294455507142245,0.47055444928577544,0.07277921985380548,0.07277921985380548
Men,Under 18,Hispanic,311,0.9967606803225377,0.003239319677462243,0.0029928483817945896,0.00299284838179459
Women,Under 18,Hispanic,302,0.9862134140789743,0.01378658592102571,0.006344174177865329,0.006344174177865331
Men,18-24,Hispanic,28,1,0,0,0
Women,18-24,Hispanic,40,1,0,0,0
Men,25-34,Hispanic,17,0.9999999999999999,0,3.7048688402439097e-17,0
Women,25-34,Hispanic,34,0.937527232623056,0.0624727673769439,0.04380659365861427,0.043806593658614265
Men,35-44,Hispanic,16,0.7397907447813346,0.2602092552186655,0.040476753943481644,0.040476753943481644
Women,35-44,Hispanic,37,0.8893921721137849,0.11060782788621512,0.055109824591041946,0.055109824591041946
Men,45-54,Hispanic,14,0.9649869708502237,0.03501302914977625,0.03492958140529489,0.03492958140529488
Women,45-54,Hispanic,30,0.8533006304874138,0.1466993695125862,0.09918519838163595,0.09918519838163592
Men,55-64,Hispanic,32,0.5224006505234964,0.4775993494765035,0.10229686555164709,0.1022968655516471
Women,55-64,Hispanic,44,0.6703872506836931,0.32961274931630685,0.1041640801190213,0.10416408011902129
Men,65 and over,Hispanic,31,0.4502777757867497,0.5497222242132502,0.07079164325684648,0.07079164325684648
Women,65 and over,Hispanic,50,0.7015215071289747,0.2984784928710253,0.05554193496780508,0.05554193496780507
Men,Under 18,NH White,245,0.9964314113838179,0.003568588616182181,0.00347877443382466,0.0034787744338246594
Women,Under 18,NH White,256,0.9977813807471199,0.0022186192528801094,0.0021910797474224163,0.0021910797474224163
Men,18-24,NH White,26,0.9999999999999999,0,2.3953206536434974e-17,0
Women,18-24,NH White,31,0.973269215893466,0.026730784106534025,0.026345935080473556,0.02634593508047355
Men,25-34,NH White,24,1,0,0,0
Women,25-34,NH White,50,1,0,0,0
Men,35-44,NH White,30,0.9341226471615345,0.0658773528384655,0.030213931281899267,0.03021393128189927
Women,35-44,NH White,46,0.9689177706856192,0.03108222931438065,0.01687331672401489,0.01687331672401489
Men,45-54,NH White,23,0.6441362957706198,0.35586370422938,0.15089530549968436,0.15089530549968436
Women,45-54,NH White,35,0.8310667886781428,0.16893321132185724,0.08694139048110638,0.08694139048110638
Men,55-64,NH White,33,0.8243790853282165,0.17562091467178345,0.06323265463906003,0.06323265463906001
Women,55-64,NH White,31,0.7352877454613752,0.26471225453862474,0.10497251745762827,0.10497251745762827
Men,65 and over,NH White,35,0.49524364529574383,0.5047563547042562,0.13109306110559554,0.13109306110559554
Women,65 and over,NH White,30,0.6607311561988692,0.3392688438011308,0.08743515026639669,0.08743515026639669
Men,Under 18,Other,165,0.9999999999999999,0,1.6335705836637173e-17,0
Women,Under 18,Other,136,1,0,0,0
Men,18-24,Other,21,0.9999999999999999,0,4.202105423148573e-17,0
Women,18-24,Other,17,1,0,0,0
Men,25-34,Other,19,0.9652138106595486,0.03478618934045137,0.035393074573986855,0.03539307457398684
Women,25-34,Other,27,0.9798760219353573,0.020123978064642733,0.019756172744070714,0.019756172744070717
Men,35-44,Other,22,0.9298678089143887,0.07013219108561128,0.05960004896314991,0.05960004896314991
Women,35-44,Other,18,1,0,0,0
Men,45-54,Other,19,0.8162444299552645,0.18375557004473553,0.10191358138747361,0.10191358138747361
Women,45-54,Other,18,0.8952101268680546,0.10478987313194552,0.07162424335425976,0.07162424335425979
Men,55-64,Other,16,0.6710344447311775,0.32896555526882243,0.13290417429007054,0.13290417429007056
Women,55-64,Other,26,0.5884710324433061,0.411528967556694,0.1504192732125151,0.15041927321251508
Men,65 and over,Other,20,0.7914109304699775,0.2085890695300225,0.057572908274545344,0.057572908274545344
Women,65 and over,Other,22,0.6492972164481835,0.35070278355181655,0.10872780499469831,0.1087278049946983
