Gender,Age.Group,Race,counts,hbvFALSE,hbvTRUE,se.hbvFALSE,se.hbvTRUE
Men,Under 18,NH Black,292,0.9999999999999999,0,1.628445779365312e-17,0
Women,Under 18,NH Black,279,1,0,0,0
Men,18-24,NH Black,35,1,0,0,0
Women,18-24,NH Black,58,0.9999999999999999,0,1.9195147288438073e-17,0
Men,25-34,NH Black,24,0.9999999999999999,0,2.125573239992577e-17,0
Women,25-34,NH Black,90,1,0,0,0
Men,35-44,NH Black,26,1,0,0,0
Women,35-44,NH Black,52,0.9999999999999999,0,2.4949988883979547e-17,0
Men,45-54,NH Black,31,0.9772709814286205,0.022729018571379597,0.020567959866522236,0.020567959866522226
Women,45-54,NH Black,45,0.9362142326521671,0.06378576734783292,0.043966020288407424,0.043966020288407424
Men,55-64,NH Black,54,0.9685235893749261,0.031476410625073815,0.020595916778728636,0.020595916778728632
Women,55-64,NH Black,57,1,0,0,0
Men,65 and over,NH Black,42,0.9550386963558711,0.044961303644128925,0.02708546341557361,0.02708546341557361
Women,65 and over,NH Black,57,1,0,0,0
Men,Under 18,Hispanic,192,1,0,0,0
Women,Under 18,Hispanic,196,1,0,0,0
Men,18-24,Hispanic,28,1,0,0,0
Women,18-24,Hispanic,40,1,0,0,0
Men,25-34,Hispanic,17,0.9999999999999999,0,3.7048688402439097e-17,0
Women,25-34,Hispanic,34,1,0,0,0
Men,35-44,Hispanic,16,1,0,0,0
Women,35-44,Hispanic,37,1,0,0,0
Men,45-54,Hispanic,14,1,0,0,0
Women,45-54,Hispanic,30,0.9685760417186321,0.031423958281367924,0.029056763569931553,0.02905676356993155
Men,55-64,Hispanic,32,0.9758427024460422,0.024157297553957756,0.02289297477295149,0.022892974772951494
Women,55-64,Hispanic,44,1,0,0,0
Men,65 and over,Hispanic,31,1,0,0,0
Women,65 and over,Hispanic,50,1,0,0,0
Men,Under 18,NH White,142,0.9999999999999999,0,1.5664586616996904e-17,0
Women,Under 18,NH White,159,1,0,0,0
Men,18-24,NH White,26,0.9999999999999999,0,2.3953206536434974e-17,0
Women,18-24,NH White,31,1,0,0,0
Men,25-34,NH White,24,1,0,0,0
Women,25-34,NH White,50,1,0,0,0
Men,35-44,NH White,30,1,0,0,0
Women,35-44,NH White,46,0.992289774861054,0.007710225138945982,0.007637108578405662,0.007637108578405661
Men,45-54,NH White,23,0.9778061738336479,0.02219382616635207,0.022351159924655806,0.022351159924655802
Women,45-54,NH White,35,1,0,0,0
Men,55-64,NH White,33,0.9306221430742093,0.06937785692579065,0.05334631952414728,0.05334631952414728
Women,55-64,NH White,31,1,0,0,0
Men,65 and over,NH White,35,0.9724406456630557,0.027559354336944356,0.028113217523879054,0.028113217523879054
Women,65 and over,NH White,30,1,0,0,0
Men,Under 18,Other,109,0.9999999999999999,0,1.703213867720182e-17,0
Women,Under 18,Other,87,1,0,0,0
Men,18-24,Other,21,0.9999999999999999,0,4.202105423148573e-17,0
Women,18-24,Other,17,1,0,0,0
Men,25-34,Other,19,1,0,0,0
Women,25-34,Other,27,1,0,0,0
Men,35-44,Other,22,1,0,0,0
Women,35-44,Other,18,1,0,0,0
Men,45-54,Other,19,0.9533563723694245,0.04664362763057558,0.04817492934845677,0.04817492934845677
Women,45-54,Other,18,0.9721593821819279,0.027840617818072143,0.03183177130281708,0.031831771302817086
Men,55-64,Other,16,0.9247843060651647,0.07521569393483521,0.07304442474980423,0.07304442474980424
Women,55-64,Other,26,0.98055971772972494,0.019440282270275156,0.018166670863496985,0.01816667086349698
Men,65 and over,Other,20,0.9253171173054096,0.07468288269459047,0.07225066654318804,0.07225066654318804
Women,65 and over,Other,22,0.9484279187384203,0.05157208126157984,0.05754907194989748,0.05754907194989749
