Gender,Age.Group,Race,counts,hcvFALSE,hcvTRUE,se.hcvFALSE,se.hcvTRUE
Men,Under 18,NH Black,292,0.9999999999999999,0,1.628445779365312e-17,0
Women,Under 18,NH Black,279,1,0,0,0
Men,18-24,NH Black,35,1,0,0,0
Women,18-24,NH Black,58,0.9999999999999999,0,1.9195147288438073e-17,0
Men,25-34,NH Black,24,0.9999999999999999,0,2.125573239992577e-17,0
Women,25-34,NH Black,90,1,0,0,0
Men,35-44,NH Black,26,0.9756792297443072,0.024320770255692778,0.02395265422540409,0.023952654225404088
Women,35-44,NH Black,52,0.9999999999999999,0,2.4949988883979547e-17,0
Men,45-54,NH Black,31,0.9046034333271195,0.0953965666728805,0.0529505101298139,0.0529505101298139
Women,45-54,NH Black,45,0.9915820508946597,0.00841794910534034,0.008432370463874206,0.008432370463874208
Men,55-64,NH Black,54,0.8925735487704699,0.10742645122953003,0.05369947054782298,0.05369947054782298
Women,55-64,NH Black,57,0.9379967897511933,0.062003210248806666,0.05688311045975811,0.056883110459758114
Men,65 and over,NH Black,42,0.9527898705158829,0.04721012948411703,0.02956349203781338,0.02956349203781338
Women,65 and over,NH Black,57,0.8615193803092092,0.13848061969079076,0.04293441169400366,0.04293441169400366
Men,Under 18,Hispanic,192,1,0,0,0
Women,Under 18,Hispanic,196,1,0,0,0
Men,18-24,Hispanic,28,1,0,0,0
Women,18-24,Hispanic,40,1,0,0,0
Men,25-34,Hispanic,17,0.9999999999999999,0,3.7048688402439097e-17,0
Women,25-34,Hispanic,34,1,0,0,0
Men,35-44,Hispanic,16,1,0,0,0
Women,35-44,Hispanic,37,1,0,0,0
Men,45-54,Hispanic,14,0.856917502033206,0.14308249796679387,0.10127487866119526,0.1012748786611953
Women,45-54,Hispanic,30,0.9700758634490751,0.029924136550924837,0.028071136415684143,0.02807113641568414
Men,55-64,Hispanic,32,0.9567542634884064,0.04324573651159355,0.02960323888234249,0.02960323888234249
Women,55-64,Hispanic,44,0.9262664760743239,0.0737335239256761,0.06069259840350786,0.06069259840350786
Men,65 and over,Hispanic,31,1,0,0,0
Women,65 and over,Hispanic,50,0.9759745706502732,0.024025429349726766,0.022670195897719448,0.022670195897719455
Men,Under 18,NH White,142,0.9999999999999999,0,1.5664586616996904e-17,0
Women,Under 18,NH White,159,1,0,0,0
Men,18-24,NH White,26,0.9999999999999999,0,2.3953206536434974e-17,0
Women,18-24,NH White,31,1,0,0,0
Men,25-34,NH White,24,0.9467641717895398,0.053235828210460245,0.050241061305195865,0.050241061305195865
Women,25-34,NH White,50,0.9457032615667766,0.05429673843322341,0.03565432420261702,0.03565432420261702
Men,35-44,NH White,30,0.9611916499932949,0.03880835000670513,0.028724270935732082,0.028724270935732082
Women,35-44,NH White,46,0.9768180651903402,0.023181934809659695,0.021641435850616217,0.02164143585061622
Men,45-54,NH White,23,0.9778061738336479,0.02219382616635207,0.022351159924655806,0.022351159924655802
Women,45-54,NH White,35,0.9217471505675362,0.07825284943246383,0.06393069690055649,0.06393069690055649
Men,55-64,NH White,33,0.6010161192579361,0.3989838807420638,0.19023040781104977,0.19023040781104975
Women,55-64,NH White,31,0.9251173591778593,0.07488264082214062,0.05388141291547496,0.053881412915474956
Men,65 and over,NH White,35,1,0,0,0
Women,65 and over,NH White,30,1,0,0,0
Men,Under 18,Other,109,0.9999999999999999,0,1.703213867720182e-17,0
Women,Under 18,Other,87,1,0,0,0
Men,18-24,Other,21,0.9999999999999999,0,4.202105423148573e-17,0
Women,18-24,Other,17,1,0,0,0
Men,25-34,Other,19,1,0,0,0
Women,25-34,Other,27,1,0,0,0
Men,35-44,Other,22,1,0,0,0
Women,35-44,Other,18,1,0,0,0
Men,45-54,Other,19,1,0,0,0
Women,45-54,Other,18,1,0,0,0
Men,55-64,Other,16,0.8522474553687212,0.14775254463127874,0.0968167756574796,0.0968167756574796
Women,55-64,Other,26,0.9526157872225173,0.04738421277748278,0.03258136255185343,0.03258136255185343
Men,65 and over,Other,20,1,0,0,0
Women,65 and over,Other,22,1,0,0,0
