Gender,Age.Group,Race,counts,strFALSE,strTRUE,se.strFALSE,se.strTRUE
Men,18-24,NH Black,18,1,0,0,0
Women,18-24,NH Black,35,0.9823183965875846,0.01768160341241544,0.01815368101573309,0.01815368101573309
Men,25-34,NH Black,24,0.9999999999999999,0,2.125573239992577e-17,0
Women,25-34,NH Black,90,0.9852654370701357,0.014734562929864315,0.01051415753512811,0.010514157535128112
Men,35-44,NH Black,26,0.9400213686903731,0.05997863130962679,0.057998766848296156,0.05799876684829616
Women,35-44,NH Black,52,0.972427008694209,0.027572991305790974,0.019046569849111083,0.019046569849111083
Men,45-54,NH Black,31,0.9199802448449975,0.08001975515500247,0.045833033160056894,0.045833033160056894
Women,45-54,NH Black,45,0.8759348938660985,0.12406510613390163,0.049653716201632135,0.049653716201632135
Men,55-64,NH Black,54,0.9409464749097961,0.05905352509020386,0.021819373080369527,0.02181937308036953
Women,55-64,NH Black,57,0.7583773097464505,0.24162269025354954,0.0426048838948127,0.0426048838948127
Men,65 and over,NH Black,42,0.7903767244103092,0.20962327558969088,0.06736327201179458,0.06736327201179458
Women,65 and over,NH Black,57,0.8501194444245467,0.14988055557545327,0.04619780361149097,0.046197803611490965
Men,18-24,Hispanic,12,1,0,0,0
Women,18-24,Hispanic,26,1,0,0,0
Men,25-34,Hispanic,17,0.9999999999999999,0,3.7048688402439097e-17,0
Women,25-34,Hispanic,34,1,0,0,0
Men,35-44,Hispanic,16,1,0,0,0
Women,35-44,Hispanic,37,0.9618418520119717,0.03815814798802826,0.03662849601154023,0.03662849601154023
Men,45-54,Hispanic,14,0.8883880203748652,0.11161197962513476,0.07437880289077539,0.07437880289077538
Women,45-54,Hispanic,30,0.9575662431285804,0.04243375687141952,0.031202374775849105,0.031202374775849105
Men,55-64,Hispanic,32,0.9831244606753371,0.01687553932466287,0.016485528762405995,0.016485528762405992
Women,55-64,Hispanic,44,0.9509124261840101,0.04908757381598991,0.030417046434457994,0.030417046434457994
Men,65 and over,Hispanic,31,0.8874749806761536,0.1125250193238464,0.06907686376426789,0.06907686376426789
Women,65 and over,Hispanic,50,0.9512060887447883,0.04879391125521171,0.027578695189693792,0.027578695189693792
Men,18-24,NH White,14,1,0,0,0
Women,18-24,NH White,19,1,0,0,0
Men,25-34,NH White,24,1,0,0,0
Women,25-34,NH White,50,1,0,0,0
Men,35-44,NH White,30,0.9813184354169492,0.018681564583050852,0.018579522113063723,0.018579522113063726
Women,35-44,NH White,46,0.9661903325157658,0.033809667484234134,0.01960705746415995,0.019607057464159958
Men,45-54,NH White,23,0.9833740953608714,0.016625904639128497,0.01665885743474599,0.016658857434745978
Women,45-54,NH White,35,0.8486155891994964,0.15138441080050358,0.08617355719136995,0.08617355719136995
Men,55-64,NH White,33,0.9210928207778905,0.07890717922210944,0.05328479781365395,0.053284797813653965
Women,55-64,NH White,31,0.7604386737009307,0.2395613262990693,0.12047481180495526,0.12047481180495528
Men,65 and over,NH White,35,0.8544369608807703,0.14556303911922977,0.07292695905186114,0.07292695905186114
Women,65 and over,NH White,30,0.7588144044385945,0.2411855955614056,0.07979238200198303,0.07979238200198303
Men,18-24,Other,13,1,0,0,0
Women,18-24,Other,9,1,0,0,0
Men,25-34,Other,19,1,0,0,0
Women,25-34,Other,27,1,0,0,0
Men,35-44,Other,22,1,0,0,0
Women,35-44,Other,18,1,0,0,0
Men,45-54,Other,19,0.8617754662876929,0.13822453371230714,0.09412459320231013,0.09412459320231013
Women,45-54,Other,18,0.770420170229798,0.22957982977020203,0.07077796685506106,0.07077796685506106
Men,55-64,Other,16,0.7506160980637638,0.24938390193623608,0.1271512589173249,0.12715125891732493
Women,55-64,Other,26,1,0,0,0
Men,65 and over,Other,20,0.8522717205937814,0.14772827940621852,0.07014215656892518,0.0701421565689252
Women,65 and over,Other,22,0.7342370040127006,0.2657629959872994,0.09815609405459462,0.09815609405459462
